N°Ins,Année,AnnéeUniv,Réf_Cours,Cours,Coef,Moy_Module,Moy_Gle,Observation,Université_Origine,Faculté_Origine,Département_Origine,Cycle_Origine,Fillière_Origine,credit_matière,Code_UE,credit_UE,Aquit,An_d_obtent,Faculté_OrigineAr,Département_OrigineAr,Fillière_OrigineAr,Université_OrigineAr,Cycle_OrigineAr
14010696401,1,2006,ALG1,Algebre1,1,9.50,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UEF11,15.0,false,2006,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696401,1,2006,Analy,Analyse1,2,7.00,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UEF11,15.0,false,2007,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696401,1,2006,info,Informatique 1,2,11.63,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,6.0,UEF11,15.0,true,2006,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696401,1,2006,Elect,Electricite ,1,10.00,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,3.0,UED,9.0,true,2006,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696434,3,2009,Th_Gr,Th des graphes,1,7.36,1.98,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UE14,12.0,false,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696434,3,2009,SYS E,Systeme exploitation2,1,4.75,1.98,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UE13,18.0,false,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,ITM,I-T-Management ,1,16.00,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,2.0,UEIN3,4.0,true,2008,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,Algo2,Algorithmique2,5,8.50,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UEIN4,16.0,false,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,B-D,Base des Données,6,11.00,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,6.0,UEIN4,16.0,true,2008,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,SD,Système D exploitation1,5,10.13,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,5.0,UEIN4,16.0,true,2008,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,T-L,Théorie des Langages,1,10.00,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,4.0,UEIN5,12.0,true,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,P-L,Programmation Linéaire,1,11.67,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,4.0,UEIN5,12.0,true,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,G-L,Génie Logiciel,1,8.77,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UEIN5,12.0,false,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696403,2,2008,ANG2,Anglais2,1,10.00,9.95,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,2.0,UEIN6,2.0,true,2008,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696434,3,2009,DIG,Dev Interface Graphique,1,8.50,1.98,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UE14,12.0,false,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696434,3,2009,Comp,Compilation,1,3.30,1.98,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UE13,18.0,false,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696434,3,2009,RES,Réseaux,1,10.00,1.98,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,6.0,UE13,18.0,true,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696434,3,2009,P_Log,Programmation Logique,1,0.00,1.98,Ajourné,Université Ibn Khaldoun  Tiaret,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UE14,12.0,false,2009,العلوم و علوم الهندسة,الإعلام الآلي,LMD - Informatique ,جامعة إبن خلدون بتيارت,MIAS
14010696434,1,2006,ALG1,Algebre1,1,11.00,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,3.0,UEF11,15.0,true,2007,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696434,1,2006,Analy,Analyse1,2,10.00,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,6.0,UEF11,15.0,true,2006,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696434,1,2006,info,Informatique 1,2,10.13,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,6.0,UEF11,15.0,true,2006,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696434,1,2006,Mecaq,Mécanique,1,7.00,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UED,9.0,false,2007,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
14010696434,1,2006,Elect,Electricite ,1,8.00,0.00,Admis/Dettes,Université IBN KHALDOUN - TIARET-,Sciences et des Sciences de l Ingénieur,Informatique,MIAS,LMD - Informatique ,0.0,UED,9.0,false,2007,Sciences et des Sciences de l Ingénieur,Informatique,LMD - Informatique ,Université IBN KHALDOUN - TIARET-,MIAS
