N°Ins,Réf_Cours,examen,rattrapage,Conference,seminaire,TD,TP,stage,Projet,autre_Ctl,Moy_CC,Moy_Module,Aquit,Option,ratt,exclu_matière,scholar year
14010696401,ARCH,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,ALGO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,SI,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,AN,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,P-S,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,L-M,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,ANG,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,ITM,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,Algo2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,B-D,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,SD,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,T-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,P-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,G-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696401,ANG2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696402,ARPS,6,,,,,12.17,,,,0.0,8.47,false,false,false,false,2011
14010696402,RSF,1,,,,,18,,,,0.0,7.80,false,false,false,false,2011
14010696402,DSE,6.5,,,,7,,,,,0.0,6.70,false,false,false,false,2011
14010696402,AGRO,7,,,,,,,,,0.0,4.20,false,false,false,false,2011
14010696402,OROP,3.25,,,,7,,,,,0.0,4.75,false,false,false,false,2011
14010696402,WEBS,2.75,,,,,8,,,,0.0,4.85,false,false,false,false,2011
14010696402,APRC,7,,,,,13,,,,0.0,9.40,false,false,false,false,2011
14010696402,BDA,2.25,,,,,,,,,0.0,1.35,false,false,false,false,2011
14010696402,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696402,GEE,10.5,,,,,,,,,2.5,10.50,false,true,false,false,2011
14010696402,ANGP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696402,TAI,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696402,VART,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696402,MMT,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696402,TFM,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696434,ARPS,1,0,,,,9,,,,0.0,4.20,false,false,false,false,2011
14010696434,RSF,4.35,10,,,,5,,,,0.0,8.00,false,false,true,false,2011
14010696434,DSE,5.5,13,,,6,,,,,3.5,10.20,false,false,true,false,2011
14010696434,AGRO,1,10.5,,,7,,,,,0.0,9.10,false,false,true,false,2011
14010696434,OROP,3,2,,,4,,,,,0.0,3.40,false,false,false,false,2011
14010696434,WEBS,4,4.75,,,,9,,,,0.0,6.45,false,false,true,false,2011
14010696434,APRC,11,,,,,13,,,,3.0,11.80,false,false,false,false,2011
14010696434,BDA,5.25,2,,,,10,,,,0.0,7.15,false,false,false,false,2011
14010696434,TCO,5,12,,,,,,,,2.5,12.00,false,true,true,false,2011
14010696434,GEE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696434,ANGP,16,,,,,,,,,2.5,16.00,false,false,false,false,2011
14010696434,TAI,11.75,,,,4.5,8.5,,,,0.0,9.65,false,false,false,false,2011
14010696434,VART,4,8.5,,,9,12,,,,0.0,9.30,false,false,true,false,2011
14010696434,MMT,1,3,,,10.5,,,,,0.0,6.00,false,false,true,false,2011
14010696434,TFM,2.5,9.5,,,6.75,10,,,,0.0,9.05,false,false,true,false,2011
14010696434,TCT,0.5,6.5,,,10,11,,,,0.0,8.10,false,false,true,false,2011
14010696434,TCIP,11,,,,,12.5,,,,3.0,11.60,false,true,false,false,2011
14010696434,MICO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696434,ASLO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696434,AGL2,16,,,,,,,,,2.5,16.00,false,false,false,false,2011
14010696437,ARPS,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,RSF,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,DSE,0,,,,0,,,,,0.0,0.00,false,false,false,false,2011
14010696437,AGRO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,OROP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,WEBS,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,APRC,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,BDA,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,GEE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,ANGP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,TAI,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,VART,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696437,MMT,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696447,ARPS,5.25,8.25,,,,11.33,,,,0.0,9.48,false,false,true,false,2011
14010696447,RSF,10.35,,,,,11,,,,3.0,10.61,false,false,false,false,2011
14010696447,DSE,1,10,,,12,,,,,3.5,10.80,false,false,true,false,2011
14010696447,AGRO,6,13.5,,,12,,,,,2.5,12.90,false,false,true,false,2011
14010696447,OROP,6,3,,,9,,,,,0.0,7.20,false,false,false,false,2011
14010696447,WEBS,4.25,6,,,,11.5,,,,0.0,8.20,false,false,true,false,2011
14010696447,APRC,9.5,,,,,13,,,,3.0,10.90,false,false,false,false,2011
14010696447,BDA,6.25,8,,,,13,,,,2.5,10.00,false,false,true,false,2011
14010696447,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696447,GEE,5,13,,,,,,,,2.5,13.00,false,true,true,false,2011
14010696447,ANGP,10,,,,,,,,,2.5,10.00,false,false,false,false,2011
14010696447,TAI,7.25,,,,14.25,14.75,,,,4.5,10.15,false,false,false,false,2011
14010696498,ARPS,2.25,7.5,,,,11.5,,,,0.0,9.10,false,false,true,false,2011
14010696498,RSF,3.5,14,,,,13,,,,3.0,13.60,false,false,true,false,2011
14010696498,DSE,8.5,,,,13,,,,,3.5,10.30,false,false,false,false,2011
14010696498,AGRO,14,,,,14,,,,,2.5,14.00,false,false,false,false,2011
14010696449,STRM,13,,,,0,,,,,0.0,8.58,false,false,false,false,2011
14010696449,Info2,5.5,5,,,,,,,,0.0,2.75,false,false,false,false,2011
14010696449,ALG3,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,ANN1,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,LANE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,HISM,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,ALG4,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,ANL4,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,ANLC,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,GEOM,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,ANN2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696449,APMD,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696498,OROP,6.5,2,,,7,,,,,0.0,6.70,false,false,false,false,2011
14010696498,WEBS,1.25,2.5,,,,8,,,,0.0,4.70,false,false,true,false,2011
14010696498,APRC,8,,,,,13,,,,3.0,10.00,false,false,false,false,2011
14010696498,BDA,1.25,0,,,,12,,,,0.0,5.55,false,false,false,false,2011
14010696498,TCO,1,10,,,,,,,,2.5,10.00,false,true,true,false,2011
14010696498,GEE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696498,ANGP,18,,,,,,,,,2.5,18.00,false,false,false,false,2011
14010696498,TAI,13,,,,16,12.75,,,,4.5,13.55,false,false,false,false,2011
14010696498,VART,10.5,,,,13.5,14,,,,4.5,11.80,false,false,false,false,2011
14010696505,ARPS,4.25,3,,,,9.33,,,,0.0,6.28,false,false,false,false,2011
14010696505,RSF,0.75,7.25,,,,14,,,,0.0,9.95,false,false,true,false,2011
14010696505,DSE,7.5,10,,,10.5,,,,,3.5,10.20,false,false,true,false,2011
14010696505,AGRO,6.5,6.5,,,8,,,,,0.0,7.10,false,false,false,false,2011
14010696505,OROP,4,3,,,7,,,,,0.0,5.20,false,false,false,false,2011
14010696505,WEBS,1.5,3.75,,,,8.5,,,,0.0,5.65,false,false,true,false,2011
14010696505,APRC,8,,,,,13,,,,3.0,10.00,false,false,false,false,2011
14010696505,BDA,2.5,0,,,,10.5,,,,0.0,5.70,false,false,false,false,2011
14010696505,TCO,6,6,,,,,,,,0.0,6.00,false,true,false,false,2011
14010696505,GEE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696505,ANGP,10,,,,,,,,,2.5,10.00,false,false,false,false,2011
14010696505,TAI,10,,,,9.75,8.25,,,,0.0,9.60,false,false,false,false,2011
14010696505,VART,4.5,14,,,10,16,,,,4.5,13.60,false,false,true,false,2011
14010796545,ARPS,4.25,9.25,,,,11.5,,,,3.5,10.15,false,false,true,false,2011
14010796545,RSF,10.8,,,,,11,,,,3.0,10.88,false,false,false,false,2011
14010796545,DSE,2,10,,,12,,,,,3.5,10.80,false,false,true,false,2011
14010796545,AGRO,6.5,11,,,11,,,,,2.5,11.00,false,false,true,false,2011
14010796545,OROP,7.5,,,,10,,,,,0.0,8.50,false,false,false,false,2011
14010796545,WEBS,6.5,8,,,,13,,,,3.5,10.00,false,false,true,false,2011
14010696450,ALG1,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,Analy,,,,,,,,,,0.0,0.00,false,false,false,false,2011
