Réf_Cours,Cours,Coef,VExm,VRttrpg,TD,VTD,TP,VTP,Seminaire,VSem,Conférence,VConf,Stage,VStg,Projet,VPrj,Autre_CTL,VCTL,Année,AnnéeEtude,CycleEtude,FilièreEtude,Nbreemd,semestre,credit,coefExam,coefCC,codeUE,Obligatoire,PwCours,MatSaisie,requise,mode_calcul_rat
Agl,Anglais,1,false,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1MIAS172,1,MIAS,17,0,2,2.0,100.0,0.0,UED23,true,lmd,false,false,1
AGR,Application Graphes à la RO,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,1MGI191,1,MGI,19,1,1,2.5,60.0,40.0,ROP,true,lmd,false,false,1
ALG1,Algèbre 1,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,1MIAS171,1,MIAS,17,1,1,3.0,66.0,34.0,UEF11,true,lmd,false,true,1
ALG3,Algèbre 3,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS183,2,MIAS,18,1,3,4.0,60.0,40.0,MG7,true,lmd,false,true,1
ALG4,ALgèbre 4,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS184,2,MIAS,18,1,4,4.0,60.0,40.0,MG10,true,lmd,false,true,1
Algé2,Algébre 2,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,1MIAS172,1,MIAS,17,1,2,4.0,66.0,34.0,UEF21,true,lmd,false,true,1
ALGO,Algorithmique,5,false,false,1,false,1,false,0,false,0,false,0,false,0,false,0,false,2MIAS173,2,MIAS,17,2,3,5.0,50.0,50.0,UEIN1,true,lmd,false,true,1
Algo2,Algorithmique 2,5,false,false,1,false,1,false,0,false,0,false,0,false,0,false,0,false,2MIAS174,2,MIAS,17,2,4,5.0,50.0,50.0,UEIN4,true,lmd,false,true,1
Aly2,Analyse 2,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,1MIAS172,1,MIAS,17,1,2,4.0,66.0,34.0,UEF21,true,lmd,false,true,1
AN,Analyse/Numérique,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS173,2,MIAS,17,1,3,4.0,66.0,34.0,UEIN2,true,lmd,false,true,1
Analy,Analyse 1,2,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,1MIAS171,1,MIAS,17,1,1,6.0,66.0,34.0,UEF11,true,lmd,false,true,1
ANG,Anglais,1,false,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS173,2,MIAS,17,0,3,2.0,100.0,0.0,UEIN3,true,lmd,false,false,1
ANG2,Anglais 2,1,false,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS174,2,MIAS,17,0,4,2.0,100.0,0.0,UEIN6,true,lmd,false,false,1
ANL3,Analyse 3,2,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS183,2,MIAS,18,1,3,6.0,60.0,40.0,MG7,true,lmd,false,true,1
ANL4,Analyse 4,2,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS184,2,MIAS,18,1,4,6.0,60.0,40.0,MG10,true,lmd,false,true,1
ANLC,Analyse Complexe,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS184,2,MIAS,18,1,4,4.0,60.0,40.0,MG10,true,lmd,false,true,1
ANN1,Analyse Numérique 1,2,false,false,1,false,1,false,0,false,0,false,0,false,0,false,0,false,2MIAS183,2,MIAS,18,2,3,5.0,60.0,40.0,MG8,true,lmd,false,false,1
ANN2,Analyse Numérique 2,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS184,2,MIAS,18,1,4,5.0,60.0,40.0,MG11,true,lmd,false,false,1
APMD,Applic Mat aux Autre Disciplin,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS184,2,MIAS,18,1,4,3.0,60.0,40.0,MG12,true,lmd,false,false,1
APN,Anlgais Premier Niveau,1,false,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1MGI191,1,MGI,19,0,1,2.5,100.0,0.0,ANG,true,lmd,false,false,1
ARCH,Arch/Ordinateur,5,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,2MIAS173,2,MIAS,17,1,3,5.0,66.0,34.0,UEIN1,true,lmd,false,true,1
B-D,Base des Données,6,false,false,1,false,1,false,0,false,0,false,0,false,0,false,0,false,2MIAS174,2,MIAS,17,2,4,6.0,50.0,50.0,UEIN4,true,lmd,false,true,1
BDD,Base de données Ava et Datamin,1,false,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1MGI191,1,MGI,19,0,1,2.5,100.0,0.0,BSE,false,lmd,false,false,1
BDD-A,Bases de données avancées,1,false,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false,3MIAS176,3,MIAS,17,1,6,5.0,66.0,34.0,UE15,false,lmd,false,true,1
