N°Ins,Code_UE,credit_obtenu,Moy_UE,Aquit,exclu_ue
14010696449,MG7,11.0,7.95,false,false
14010696449,MG8,4.0,2.65,false,false
14010696449,MG9,0.0,0.00,false,false
14010696449,MG10,0.0,0.00,false,false
14010696449,MG11,4.0,3.93,false,false
14010696449,MG12,0.0,0.00,false,false
14011599309,ANG,0.0,0.00,false,false
14011599309,BSE,0.0,0.00,false,false
14011599309,LCO,0.0,0.00,false,false
14011599309,MVS,0.0,0.00,false,false
14011599309,ROP,0.0,0.00,false,false
14011599309,ANG2,0.0,0.00,false,false
14011599309,HWR,0.0,0.00,false,false
14011599309,TWB,0.0,0.00,false,false
14010796647,QSR,0.0,2.29,false,false
14010796647,UEMR,0.0,1.00,false,false
14010796647,UPFR,0.0,0.00,false,false
14010896757,QSR,10.0,9.91,false,false
14010896757,UEMR,14.5,11.27,false,false
14010896757,UPFR,30.0,13.00,false,false
14010996922,QSR,4.5,8.96,false,false
14010996922,UEMR,14.5,11.12,false,false
14010996922,UPFR,30.0,16.00,false,false
14011599296,TRX,0.0,0.00,false,false
14011599296,REOP,0.0,0.00,false,false
14011599296,ALOG,0.0,0.00,false,false
14011599296,UTE,0.0,0.00,false,false
14011599296,TECRX,0.0,0.00,false,false
14011599296,TCE,0.0,0.00,false,false
14011599296,EDP,0.0,0.00,false,false
14011599296,UET,0.0,0.00,false,false
14010997045,QSR,10.0,9.34,false,false
14010997045,UEMR,14.5,11.08,false,false
14010997045,UPFR,30.0,16.00,false,false
14011097102,TRX,3.0,9.05,false,false
14011097102,REOP,6.0,9.75,false,false
14010997045,ALOG,3.0,9.11,false,false
14011097102,ALOG,6.0,9.63,false,false
14011097102,UTE,2.5,15.00,false,false
14011097102,TECRX,4.5,9.74,false,false
14011097102,TCE,0.0,8.80,false,false
14011097102,EDP,3.0,12.40,false,false
14011097102,UET,2.5,15.75,false,false
14011097152,UEF1,10.0,10.55,false,false
14011097152,UEF2,12.0,10.30,false,false
14011097152,UED1,3.0,9.20,false,false
14011097152,UET1,2.0,17.25,false,false
14011097152,UEF1.,10.0,10.63,false,false
14011097152,UEF2.,3.0,9.71,false,false
14011097152,UEF3,4.0,9.03,false,false
14011097152,UET1.,2.0,15.50,false,false
14011097177,ANG,2.5,20.00,false,false
14011097177,BSE,2.5,10.00,false,false
14011097177,LCO,6.5,12.16,false,false
14011097177,MVS,9.0,11.34,false,false
14011097177,ROP,9.5,10.08,false,false
14011097177,ANG2,2.5,20.00,false,false
14011097177,HWR,3.0,10.50,false,false
14011097177,TWB,11.5,12.39,false,false
14011097177,VTI,13.0,10.56,false,false
14011097274,QSR,10.0,9.43,false,false
14011097274,UEMR,14.5,11.92,false,false
14011097274,UPFR,30.0,16.00,false,false
14011097276,QSR,15.5,10.00,false,false
14011097276,UEMR,14.5,11.38,false,false
14011097276,UPFR,30.0,16.00,false,false
14011097300,ANG,2.5,17.00,false,false
14011097300,BSE,0.0,7.50,false,false
14011097300,LCO,3.0,9.52,false,false
14011097300,MVS,9.0,10.58,false,false
14011097300,ROP,3.5,9.15,false,false
14010896694,MG7,0.0,0.00,false,false
14010896694,MG8,0.0,0.00,false,false
14010896694,MG9,0.0,0.00,false,false
14010896694,MG10,0.0,0.00,false,false
14010896694,MG11,0.0,0.00,false,false
14010896694,MG12,0.0,0.00,false,false
14010796674,TRX,0.0,0.00,false,false
14010796674,REOP,0.0,0.00,false,false
14011097300,ANG2,2.5,19.00,false,false
14011097300,HWR,3.0,12.00,false,false
14011097300,TWB,11.5,12.59,false,false
14011097300,VTI,8.5,9.66,false,false
14011097368,QSR,15.5,10.21,false,false
14011097368,UEMR,14.5,11.50,false,false
14011097368,UPFR,30.0,16.00,false,false
14011097416,QSR,4.5,8.52,false,false
14011097416,UEMR,14.5,12.02,false,false
14011097416,UPFR,30.0,16.00,false,false
14011097456,QSR,15.5,10.21,false,false
14011097456,UEMR,14.5,12.17,false,false
14011097456,UPFR,30.0,16.00,false,false
14011097464,TRX,0.0,8.00,false,false
14011097464,REOP,0.0,6.84,false,false
14011097464,ALOG,0.0,8.11,false,false
14011097464,UTE,2.5,18.00,false,false
14011097464,TECRX,0.0,8.36,false,false
14011097464,TCE,0.0,5.33,false,false
14011097464,EDP,3.0,10.10,false,false
14011097464,UET,2.5,15.25,false,false
14011097478,TRX,9.0,10.57,false,false
14011097478,REOP,9.5,10.07,false,false
14011097478,ALOG,9.0,11.16,false,false
14011097478,UTE,2.5,17.00,false,false
14011097478,TECRX,4.5,9.52,false,false
14011097731,QSR,15.5,10.46,false,false
14010896715,MG7,0.0,0.00,false,false
14010896715,MG8,0.0,0.00,false,false
14010896715,MG9,0.0,0.00,false,false
14010896715,MG10,0.0,0.00,false,false
14010896715,MG11,0.0,0.00,false,false
14010896715,MG12,0.0,0.00,false,false
14011599300,TRX,0.0,3.00,false,false
14011599300,REOP,0.0,1.11,false,false
14011599300,ALOG,0.0,2.49,false,false
14011599300,TECRX,0.0,0.00,false,false
14011599300,TCE,0.0,0.00,false,false
14011599300,EDP,0.0,0.00,false,false
14011097478,TCE,5.0,9.57,false,false
14011097478,EDP,3.0,10.05,false,false
14011097478,UET,2.5,15.75,false,false
14011097544,QSR,0.0,0.00,false,false
14011097544,UEMR,0.0,0.00,false,false
14011097544,UPFR,0.0,0.00,false,false
14011097571,ANG,0.0,0.00,false,false
14011097571,BSE,0.0,0.50,false,false
14011097571,LCO,0.0,1.33,false,false
14011097571,MVS,0.0,2.72,false,false
14011097571,ROP,0.0,1.79,false,false
14011097571,ANG2,0.0,0.00,false,false
14011097571,HWR,0.0,0.00,false,false
14011097571,TWB,0.0,0.00,false,false
14011097571,VTI,0.0,0.00,false,false
14011097588,TRX,0.0,0.30,false,false
14011097588,REOP,0.0,0.44,false,false
14011097588,ALOG,0.0,0.68,false,false
14011097543,SYSDC,15.5,12.59,false,false
14011097543,UEMM,14.5,12.46,false,false
14011097543,UPFE,30.0,16.00,false,false
14011097731,UEMR,14.5,13.81,false,false
14011097731,UPFR,30.0,15.50,false,false
14011599300,UET,0.0,0.00,false,false
14011599309,VTI,0.0,0.00,false,false
14011097588,UTE,0.0,0.00,false,false
14011097588,TECRX,0.0,0.00,false,false
14011097588,TCE,0.0,0.17,false,false
14011599299,TRX,0.0,3.23,false,false
14011599299,REOP,0.0,1.25,false,false
14011599299,ALOG,0.0,3.24,false,false
14011599299,UTE,0.0,0.00,false,false
14011599299,TECRX,0.0,3.05,false,false
14011599299,TCE,0.0,0.00,false,false
14010696529,MG10,0.0,0.00,false,false
14011097588,EDP,0.0,5.10,false,false
14011097588,UET,2.5,14.00,false,false
14011097606,QSR,15.5,10.68,false,false
14011097606,UEMR,14.5,12.02,false,false
14011097606,UPFR,30.0,16.00,false,false
14011097609,TRX,0.0,0.00,false,false
14011097609,REOP,0.0,0.00,false,false
14011097609,ALOG,0.0,0.00,false,false
14011097609,UTE,0.0,0.00,false,false
14011097609,TECRX,0.0,0.00,false,false
14011097609,TCE,0.0,0.00,false,false
14011097609,EDP,0.0,0.00,false,false
14011097609,UET,0.0,0.00,false,false
14011097616,QSR,15.5,11.34,false,false
14011097616,UEMR,14.5,12.65,false,false
14011097616,UPFR,30.0,15.50,false,false
14011097634,SYSDC,15.5,11.76,false,false
14011097634,UEMM,14.5,12.11,false,false
14011097634,UPFE,30.0,16.00,false,false
14011197795,QSR,15.5,12.25,false,false
14011197795,UEMR,14.5,12.54,false,false
14011197795,UPFR,30.0,16.50,false,false
14011197808,TRX,9.0,10.08,false,false
14011197808,REOP,3.5,9.49,false,false
14011197798,SYSDC,15.5,11.91,false,false
14011197798,UEMM,14.5,12.39,false,false
14011197798,UPFE,30.0,16.50,false,false
14010796554,UEF11,0.0,0.00,false,false
14010796554,UED,0.0,0.00,false,false
14010796554,UEM ,0.0,0.00,false,false
14010796554,UEF22,3.0,2.50,false,false
14010796554,UED23,2.0,3.50,false,false
14010796554,UEF21,0.0,0.00,false,false
14011599303,TRX,0.0,0.00,false,false
14011599303,REOP,0.0,0.00,false,false
14011599303,ALOG,0.0,0.00,false,false
14011599303,UTE,0.0,0.00,false,false
14011097496,REOP,0.0,8.73,false,false
14011197808,ALOG,0.0,9.08,false,false
14011197808,UTE,2.5,16.00,false,false
14011197808,TECRX,13.0,10.07,false,false
14011197808,TCE,5.0,9.97,false,false
14011197808,EDP,0.0,8.30,false,false
14011197808,UET,2.5,15.75,false,false
14011197810,QSR,15.5,12.59,false,false
14011197810,UEMR,14.5,12.25,false,false
14011197810,UPFR,30.0,16.00,false,false
14011197866,QSR,15.5,12.13,false,false
14011197866,UEMR,14.5,12.83,false,false
14011197866,UPFR,30.0,16.00,false,false
14011197872,QSR,4.5,9.41,false,false
14011197872,UEMR,14.5,11.62,false,false
14011197872,UPFR,30.0,16.00,false,false
14011197876,QSR,15.5,10.21,false,false
14011197876,UEMR,14.5,11.81,false,false
14011197876,UPFR,30.0,16.00,false,false
14011197877,QSR,15.5,11.73,false,false
14011197877,UEMR,14.5,13.27,false,false
14011197877,UPFR,30.0,16.00,false,false
14011197893,ANG,2.5,13.75,false,false
14011197893,BSE,0.0,6.00,false,false
14010997029,MG7,0.0,0.00,false,false
14010997029,MG8,0.0,0.00,false,false
14010997029,MG9,0.0,0.00,false,false
14010997029,MG10,0.0,0.00,false,false
