"N°Ins","Année","AnnéeUniv","Réf_Cours","Cours","Coef","Moy_Module","Moy_Gle","Observation","Université_Origine","Faculté_Origine","Département_Origine","Cycle_Origine","Fillière_Origine","credit_matière","Code_UE","credit_UE","Aquit","An_d_obtent","Faculté_OrigineAr","Département_OrigineAr","Fillière_OrigineAr","Université_OrigineAr","Cycle_OrigineAr"
"14010796647","1","2012","ARPS","Admin Réseaux & Prog Sys","1.4","8.40","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TRX","6.5","False","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","RSF","Réseaux sans fil","1.2","13.70","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3","TRX","6.5","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","DSE","Simulation à évènement discret","1.4","7.60","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","REOP","9.5","False","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","AGRO","App des Graphes à la Rech Opér","1","8.50","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","REOP","9.5","False","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","OROP","Optimisation en Rech Oper","1.4","10.20","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3.5","REOP","9.5","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","WEBS","Web Services","1.4","14.20","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3.5","ALOG","9","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","APRC","Approches par Composants","1.2","12.20","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3","ALOG","9","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","BDA","Base de Données Avancées","1","12.00","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","2.5","ALOG","9","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","GEE","Gestion et Economie Entreprise","1","0.00","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","UDE","2.5","False","2012","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2013","TCO","Techniques de Communication","1","8.00","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","UDE","2.5","False","2013","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","AGR","Application Graphes à la RO","1","11.00","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","2.5","ROP","9.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","ANGP","Anglais Premier Niveau","1","12.00","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","2.5","UTE","2.5","True","2012","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","TAI","Traitement et Analyse Images","1.8","10.75","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","4.5","VTIM","13","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
