id_student,birthay,gender,nationality,bac_wilaya,group,section,year_study,year_cycle,bac_average,repeated,status,scholar_year
14010796554,1983-12-03 00:00:00,F,algérienne,14,3,2,1,MIAS,11.91,true,Ajourné,2010
14010796554,1983-12-03 00:00:00,F,algérienne,14,1,1,1,MIAS,11.91,true,Ajourné,2011
14010796554,1983-12-03 00:00:00,F,algérienne,14,1,1,1,MIAS,11.91,true,Ajourné,2012
14010796554,1983-12-03 00:00:00,F,algérienne,14,1,1,1,MIAS,11.91,true,Ajourné,2013
14010796554,1983-12-03 00:00:00,F,algérienne,14,1,1,1,MIAS,11.91,true,Ajourné,2014
14010796554,1983-12-03 00:00:00,F,algérienne,14,1,1,1,MIAS,11.91,true,Ajourné,2015
14010796615,1987-07-15 00:00:00,M,algérienne,14,2,1,1,MIAS,10.2,true,Ajourné,2010
14010796615,1987-07-15 00:00:00,M,algérienne,14,1,1,1,MIAS,10.2,true,Ajourné,2011
14010796666,1989-08-31 00:00:00,M,algérienne,14,1,1,1,MIAS,10.88,true,Ajourné,2010
14010796666,1989-08-31 00:00:00,M,algérienne,14,1,1,1,MIAS,10.88,true,Ajourné,2011
14010796670,1988-04-10 00:00:00,M,algérienne,38,4,1,1,MIAS,10.56,true,Ajourné,2010
14010796670,1988-04-10 00:00:00,M,algérienne,38,1,1,1,MIAS,10.56,true,Ajourné,2011
14010796689,1982-06-24 00:00:00,M,algérienne,48,2,3,1,MIAS,10.35,true,Ajourné,2010
14010796689,1982-06-24 00:00:00,M,algérienne,48,1,1,1,MIAS,10.35,true,Ajourné,2011
14010896702,1988-02-19 00:00:00,F,algérienne,22,3,3,1,MIAS,10.24,true,Ajourné,2010
14010896702,1988-02-19 00:00:00,F,algérienne,22,1,1,1,MIAS,10.24,true,Ajourné,2011
14010896707,1990-01-22 00:00:00,M,algérienne,14,2,1,1,MIAS,10.68,true,Ajourné,2010
14010896707,1990-01-22 00:00:00,M,algérienne,14,1,1,1,MIAS,10.68,true,Ajourné,2011
14010896721,1988-06-04 00:00:00,M,algérienne,14,2,1,1,MIAS,10.14,true,Ajourné,2010
14010896721,1988-06-04 00:00:00,M,algérienne,14,1,1,1,MIAS,10.14,true,Ajourné,2011
14010896739,1990-02-28 00:00:00,M,algérienne,14,3,2,1,MIAS,12.4,true,Ajourné,2010
14010896739,1990-02-28 00:00:00,M,algérienne,14,1,1,1,MIAS,12.4,true,Ajourné,2011
14010896742,1987-06-01 00:00:00,M,algérienne,14,1,3,1,MIAS,10.75,true,Ajourné,2010
14010896742,1987-06-01 00:00:00,M,algérienne,14,1,1,1,MIAS,10.75,true,Ajourné,2011
14010896743,1990-11-25 00:00:00,M,algérienne,14,1,3,1,MIAS,12.54,true,Ajourné,2010
14010896743,1990-11-25 00:00:00,M,algérienne,14,1,1,1,MIAS,12.54,true,Ajourné,2011
14010896750,1988-02-14 00:00:00,M,algérienne,14,4,3,1,MIAS,11.32,true,Ajourné,2010
14010896750,1988-02-14 00:00:00,M,algérienne,14,1,1,1,MIAS,11.32,true,Ajourné,2011
14010896751,1988-09-24 00:00:00,F,algérienne,14,4,2,1,MIAS,10.92,true,Ajourné,2010
14010896751,1988-09-24 00:00:00,F,algérienne,14,1,1,1,MIAS,10.92,true,Ajourné,2011
14010896753,1984-04-07 00:00:00,M,algérienne,14,4,3,1,MIAS,11.69,true,Ajourné,2010
14010896753,1984-04-07 00:00:00,M,algérienne,14,1,1,1,MIAS,11.69,true,Ajourné,2011
14010896758,1988-05-12 00:00:00,M,algérienne,22,1,1,1,MIAS,10.88,true,Ajourné,2010
14010896758,1988-05-12 00:00:00,M,algérienne,22,1,1,1,MIAS,10.88,true,Ajourné,2011
14010896763,1990-07-11 00:00:00,F,algérienne,14,4,3,1,MIAS,12,true,Ajourné,2010
14010896763,1990-07-11 00:00:00,F,algérienne,14,1,1,1,MIAS,12,true,Ajourné,2011
14010896771,1989-10-10 00:00:00,M,algérienne,14,4,2,1,MIAS,12.3,true,Ajourné,2010
14010896771,1989-10-10 00:00:00,M,algérienne,14,1,1,1,MIAS,12.3,true,Ajourné,2011
14010896777,1987-03-04 00:00:00,M,algérienne,14,4,3,1,MIAS,10.63,true,Ajourné,2010
14010896777,1987-03-04 00:00:00,M,algérienne,14,1,1,1,MIAS,10.63,true,Ajourné,2011
14010896777,1987-03-04 00:00:00,M,algérienne,14,1,1,1,MIAS,10.63,true,Ajourné,2012
14010896777,1987-03-04 00:00:00,M,algérienne,14,1,1,1,MIAS,10.63,true,Ajourné,2013
14010896777,1987-03-04 00:00:00,M,algérienne,14,1,1,1,MIAS,10.63,true,Ajourné,2014
14010896777,1987-03-04 00:00:00,M,algérienne,14,1,1,1,MIAS,10.63,true,Ajourné,2015
14010896791,1989-06-03 00:00:00,M,algérienne,14,1,2,1,MIAS,10.34,true,Ajourné,2010
14010896791,1989-06-03 00:00:00,M,algérienne,14,1,1,1,MIAS,10.34,true,Ajourné,2011
14010896798,1990-10-20 00:00:00,M,algérienne,14,4,1,1,MIAS,10,true,Ajourné,2010
14010896798,1990-10-20 00:00:00,M,algérienne,14,1,1,1,MIAS,10,true,Ajourné,2011
14010896802,1988-08-26 00:00:00,M,algérienne,14,1,1,1,MIAS,10.66,true,Ajourné,2010
14010896802,1988-08-26 00:00:00,M,algérienne,14,1,1,1,MIAS,10.66,true,Ajourné,2011
14010896807,1991-01-17 00:00:00,F,algérienne,14,2,3,1,MIAS,12.69,true,Ajourné,2010
14010896807,1991-01-17 00:00:00,F,algérienne,14,1,1,1,MIAS,12.69,true,Ajourné,2011
14010896807,1991-01-17 00:00:00,F,algérienne,14,1,1,1,MIAS,12.69,true,Ajourné,2012
14010896807,1991-01-17 00:00:00,F,algérienne,14,1,1,1,MIAS,12.69,true,Ajourné,2013
14010896807,1991-01-17 00:00:00,F,algérienne,14,1,1,1,MIAS,12.69,true,Ajourné,2014
14010896807,1991-01-17 00:00:00,F,algérienne,14,1,1,1,MIAS,12.69,true,Ajourné,2015
14010896818,1986-04-19 00:00:00,M,algérienne,02,3,1,1,MIAS,11.53,true,Ajourné,2010
14010896818,1986-04-19 00:00:00,M,algérienne,02,1,1,1,MIAS,11.53,true,Ajourné,2011
14010896822,1988-06-09 00:00:00,M,algérienne,14,4,3,1,MIAS,10.62,true,Ajourné,2010
14010896822,1988-06-09 00:00:00,M,algérienne,14,1,1,1,MIAS,10.62,true,Ajourné,2011
14010896838,1990-01-15 00:00:00,F,algérienne,14,1,2,1,MIAS,11.21,true,Ajourné,2010
14010896838,1990-01-15 00:00:00,F,algérienne,14,1,1,1,MIAS,11.21,true,Ajourné,2011
14010896839,1989-10-13 00:00:00,M,algérienne,14,1,1,1,MIAS,12,true,Ajourné,2010
14010896839,1989-10-13 00:00:00,M,algérienne,14,1,1,1,MIAS,12,true,Ajourné,2011
14010896849,1986-02-06 00:00:00,M,algérienne,14,1,1,1,MIAS,10.09,true,Ajourné,2010
14010896849,1986-02-06 00:00:00,M,algérienne,14,1,1,1,MIAS,10.09,true,Ajourné,2011
14010896852,1989-07-31 00:00:00,M,algérienne,14,4,1,1,MIAS,12.12,true,Ajourné,2010
14010896852,1989-07-31 00:00:00,M,algérienne,14,1,1,1,MIAS,12.12,true,Ajourné,2011
14010996865,1989-11-05 00:00:00,M,algérienne,14,4,2,1,MIAS,10.61,true,Admis/Dettes,2010
14010996866,1988-02-26 00:00:00,M,algérienne,14,3,1,1,MIAS,10.65,true,Ajourné,2010
14010996866,1988-02-26 00:00:00,M,algérienne,14,1,1,1,MIAS,10.65,true,Ajourné,2011
14010996867,1990-05-15 00:00:00,M,algérienne,14,2,3,1,MIAS,10.32,true,Ajourné,2010
14010996867,1990-05-15 00:00:00,M,algérienne,14,1,1,1,MIAS,10.32,true,Ajourné,2011
14010996869,1991-02-21 00:00:00,F,algérienne,14,1,3,1,MIAS,11.13,true,Ajourné,2010
14010996869,1991-02-21 00:00:00,F,algérienne,14,1,1,1,MIAS,11.13,true,Ajourné,2011
14010996885,1988-01-08 00:00:00,M,algérienne,14,2,3,1,MIAS,10.54,true,Ajourné,2010
14010996885,1988-01-08 00:00:00,M,algérienne,14,1,1,1,MIAS,10.54,true,Admis/Dettes,2011
14010996889,1989-07-03 00:00:00,M,algérienne,14,1,3,1,MIAS,11.66,true,Ajourné,2010
14010996889,1989-07-03 00:00:00,M,algérienne,14,1,1,1,MIAS,11.66,true,Ajourné,2011
14010996892,1990-03-28 00:00:00,F,algérienne,14,2,2,1,MIAS,10.22,true,Admis/Dettes,2010
14010996893,1990-07-29 00:00:00,M,algérienne,14,3,2,1,MIAS,10.31,true,Ajourné,2010
14010996893,1990-07-29 00:00:00,M,algérienne,14,1,1,1,MIAS,10.31,true,Ajourné,2011
14010996893,1990-07-29 00:00:00,M,algérienne,14,1,1,1,MIAS,10.31,true,Ajourné,2012
14010996893,1990-07-29 00:00:00,M,algérienne,14,1,1,1,MIAS,10.31,true,Ajourné,2013
14010996895,1987-02-10 00:00:00,M,algérienne,14,3,1,1,MIAS,11.1,true,Ajourné,2010
14010996898,1989-07-31 00:00:00,M,algérienne,14,1,2,1,MIAS,11.65,true,Ajourné,2010
14010996898,1989-07-31 00:00:00,M,algérienne,14,1,1,1,MIAS,11.65,true,Ajourné,2011
14010996899,1990-02-03 00:00:00,F,algérienne,14,4,1,1,MIAS,12.15,true,Admis/Session2,2010
14010996900,1990-12-21 00:00:00,M,algérienne,14,3,1,1,MIAS,11.21,true,Ajourné,2010
14010996900,1990-12-21 00:00:00,M,algérienne,14,1,1,1,MIAS,11.21,true,Ajourné,2011
14010996900,1990-12-21 00:00:00,M,algérienne,14,1,1,1,MIAS,11.21,true,Ajourné,2012
14010996904,1990-10-09 00:00:00,M,algérienne,14,4,2,1,MIAS,11.74,true,Ajourné,2010
14010996904,1990-10-09 00:00:00,M,algérienne,14,1,1,1,MIAS,11.74,true,Ajourné,2011
14010996905,1990-03-07 00:00:00,F,algérienne,14,1,1,1,MIAS,11.86,true,Admis/Session2,2010
14010996906,1986-02-24 00:00:00,F,algérienne,14,1,1,1,MIAS,10.31,true,Ajourné,2010
14010996906,1986-02-24 00:00:00,F,algérienne,14,1,1,1,MIAS,10.31,true,Ajourné,2011
14010996907,1991-01-19 00:00:00,F,algérienne,14,2,2,1,MIAS,10.73,true,Admis/Dettes,2010
14010996911,1988-02-15 00:00:00,M,algérienne,14,3,3,1,MIAS,10,true,Ajourné,2010
14010996911,1988-02-15 00:00:00,M,algérienne,14,1,1,1,MIAS,10,true,Ajourné,2011
14010996911,1988-02-15 00:00:00,M,algérienne,14,1,1,1,MIAS,10,true,Ajourné,2012
14010996911,1988-02-15 00:00:00,M,algérienne,14,1,1,1,MIAS,10,true,Ajourné,2013
14010996915,1989-09-17 00:00:00,M,algérienne,38,4,1,1,MIAS,10.36,true,Ajourné,2010
14010996916,1990-08-18 00:00:00,M,algérienne,14,3,3,1,MIAS,11.57,true,Ajourné,2010
14010996916,1990-08-18 00:00:00,M,algérienne,14,1,1,1,MIAS,11.57,true,Ajourné,2011
14010996916,1990-08-18 00:00:00,M,algérienne,14,1,1,1,MIAS,11.57,true,Ajourné,2012
14010996917,1989-05-09 00:00:00,M,algérienne,38,3,1,1,MIAS,10,true,Ajourné,2010
14010996917,1989-05-09 00:00:00,M,algérienne,38,1,1,1,MIAS,10,true,Ajourné,2011
14010996922,1989-07-06 00:00:00,M,algérienne,14,3,1,1,MIAS,11.11,true,Ajourné,2010
14010996922,1989-07-06 00:00:00,M,algérienne,14,1,1,1,MIAS,11.11,true,Admis/Dettes,2011
14010996924,1989-05-04 00:00:00,M,algérienne,14,1,2,1,MIAS,10.14,true,Ajourné,2010
14010996924,1989-05-04 00:00:00,M,algérienne,14,1,1,1,MIAS,10.14,true,Ajourné,2011
14010996925,1990-10-23 00:00:00,M,algérienne,14,4,3,1,MIAS,10.26,true,Ajourné,2010
14010996925,1990-10-23 00:00:00,M,algérienne,14,1,1,1,MIAS,10.26,true,Ajourné,2011
14010996928,1988-12-22 00:00:00,M,algérienne,14,1,3,1,MIAS,10.48,true,Ajourné,2010
14010996928,1988-12-22 00:00:00,M,algérienne,14,1,1,1,MIAS,10.48,true,Ajourné,2011
