id_student,id_course,course_title,scholar_year,semester,branch_level
14010696402,Comp,Compilation,2010,5,MIAS
14010696402,DIG,Dev. d`Interface Graphique,2010,5,MIAS
14010696402,GEE,Gestion et Economie Entreprise,2011,1,MGI
14010696402,Mecaq,Mécanique,2010,1,MIAS
14010696402,PFE,Projet de Fin Etudes,2010,6,MIAS
14010696402,Th_Gr,Théorie des graphes,2010,5,MIAS
14010696403,Comp,Compilation,2010,5,MIAS
14010696403,PFE,Projet de Fin Etudes,2010,6,MIAS
14010696403,Th_Gr,Théorie des graphes,2010,5,MIAS
14010696434,AGL2,Anglais Niveau 2,2011,2,MGI
14010696434,ANGP,Anglais Premier Niveau,2011,1,MGI
14010696434,APRC,Approches par Composants,2011,1,MGI
14010696434,ARPS,Admin Réseaux & Prog Sys,2012,1,MGI
14010696434,BDA,Base de Données Avancées,2012,1,MGI
14010696434,DIG,Dev. d`Interface Graphique,2010,5,MIAS
14010696434,DSE,Simulation à évènement discret,2011,1,MGI
14010696434,MMT,Modèle Math et Trait Signale,2012,2,MGI
14010696434,P_Log,Programmation Logique,2010,5,MIAS
14010696434,PARCL,Parallelisme et Clustring,2013,3,MGI
14010696434,PFER,Projet de fin d etudes,2013,4,MGI
14010696434,RBIB,Recherche Bibliographique,2013,3,MGI
14010696434,REC-F,Reconnaissance des formes,2010,6,MIAS
14010696434,STRE,Stage en Entreprise,2013,4,MGI
14010696434,TCIP,Technoligie IP,2011,2,MGI
14010696434,TCO,Techniques de Communication,2011,1,MGI
14010696434,TFM,Télécom Fixes et  Mobiles,2012,2,MGI
14010696434,WEBS,Web Services,2012,1,MGI
14010696437,P_Log,Programmation Logique,2010,5,MIAS
14010696437,PFE,Projet de Fin Etudes,2010,6,MIAS
14010696437,Th_Gr,Théorie des graphes,2010,5,MIAS
14010696447,AGRO,App des Graphes à la Rech Opér,2011,1,MGI
14010696447,APRC,Approches par Composants,2011,1,MGI
14010696447,Comp,Compilation,2010,5,MIAS
14010696447,DIG,Dev. d`Interface Graphique,2010,5,MIAS
14010696447,DSE,Simulation à évènement discret,2011,1,MGI
14010696447,GEE,Gestion et Economie Entreprise,2011,1,MGI
14010696447,P_Log,Programmation Logique,2010,5,MIAS
14010696447,PFE,Projet de Fin Etudes,2010,6,MIAS
14010696447,PFER,Projet de fin d etudes,2012,4,MGI
14010696447,PROGP,Architecture et prog-parallèle,2010,6,MIAS
14010696447,RBIB,Recherche Bibliographique,2012,3,MGI
14010696447,RSF,Réseaux sans fil,2011,1,MGI
14010696447,STRE,Stage en Entreprise,2012,4,MGI
14010696447,TAI,Traitement et Analyse Images,2011,2,MGI
14010696447,TCIP,Technoligie IP,2011,2,MGI
14010696447,TFM,Télécom Fixes et  Mobiles,2011,2,MGI
14010696447,VART,Vision Artificielle,2011,2,MGI
14010696449,STRM,Structure Machine,2012,2,MIAS
14010696474,ARCH,Arch/Ordinateur,2012,3,MIAS
14010696474,I G C,Ingenirie des Connaissances,2013,5,MIAS
14010696474,L-M,Logique Mathématique,2012,3,MIAS
14010696474,P-L,Programmation Linéaire,2010,4,MIAS
14010696474,PFE,Projet de Fin Etudes,2013,6,MIAS
14010696481,AGL2,Anglais Niveau 2,2011,2,MGI
14010696481,AGRO,App des Graphes à la Rech Opér,2011,1,MGI
14010696481,ANGP,Anglais Premier Niveau,2011,1,MGI
14010696481,APRC,Approches par Composants,2011,1,MGI
14010696481,BDA,Base de Données Avancées,2012,1,MGI
14010696481,DSE,Simulation à évènement discret,2011,1,MGI
14010696481,MMT,Modèle Math et Trait Signale,2012,2,MGI
14010696481,PFER,Projet de fin d etudes,2013,4,MGI
14010696481,RBIB,Recherche Bibliographique,2013,3,MGI
14010696481,REC-F,Reconnaissance des formes,2010,6,MIAS
14010696481,RES,Réseaux,2010,5,MIAS
14010696481,RSF,Réseaux sans fil,2011,1,MGI
