student_id,cours_id,exam,td,tp,cours_avg,scholar_year
14010696401,ARCH,0,0,0,0.0,2010
14010696401,ALGO,0,0,0,0.0,2010
14010696401,SI,0,0,0,0.0,2010
14010696401,AN,0,0,0,0.0,2010
14010696401,P-S,0,0,0,0.0,2010
14010696401,L-M,0,0,0,0.0,2010
14010696401,ANG,0,0,0,0.0,2010
14010696401,ITM,0,0,0,0.0,2010
14010696401,Algo2,0,0,0,0.0,2010
14010696401,B-D,0,0,0,0.0,2010
14010696401,SD,0,0,0,0.0,2010
14010696401,T-L,0,0,0,0.0,2010
14010696401,P-L,0,0,0,0.0,2010
14010696401,G-L,0,0,0,0.0,2010
14010696401,ANG2,0,0,0,0.0,2010
14010696402,Mecaq,0,3,0,10.92,2010
14010696402,Elect,0,5,0,7.64,2010
14010696402,Comp,9.5,10,12,10.25,2010
14010696402,crypt,0,0,0,0.0,2010
14010696402,DIG,12.5,0,0,12.5,2010
14010696402,I G C,0,0,0,0.0,2010
14010696402,P_Log,11,8,0,9.98,2010
14010696402,RES,9,6,0,7.98,2010
14010696402,SYS E,4,0,13,5.25,2010
14010696402,Th_Gr,12,7,0,10.3,2010
14010696402,BDD-A,0,0,0,0.0,2010
14010696402,PFE,15.5,0,0,15.5,2010
14010696402,PROGP,10,0,0,10.0,2010
14010696402,REC-F,2.5,0,0,2.5,2010
14010696402,SYS-D,0,0,0,0.0,2010
14010696403,Comp,8,12,13,10.25,2010
14010696403,crypt,0,0,0,0.0,2010
14010696403,DIG,0,0,0,0.0,2010
14010696403,I G C,8.5,0,0,8.5,2010
14010696403,P_Log,2.75,18,0,7.94,2010
14010696403,RES,5,10,0,6.7,2010
14010696403,SYS E,8.5,9,12,9.5,2010
14010696403,Th_Gr,12.5,11.5,0,12.16,2010
14010696403,BDD-A,0,0,0,0.0,2010
14010696403,PFE,16,0,0,16.0,2010
14010696437,Comp,10,9,11,10.0,2010
14010696434,Th_Gr,14.5,0,0,9.57,2010
14010696434,SYS E,9,0,10,7.0,2010
14010696434,crypt,0,0,0,0.0,2010
14010696434,DIG,11.5,0,0,11.5,2010
14010696434,I G C,0,0,0,0.0,2010
14010696434,Comp,10,10,10,10.0,2010
14010696434,P_Log,17.5,10,0,14.95,2010
14010696434,PROGP,10,0,0,10.0,2010
14010696434,SYS-D,0,0,0,0.0,2010
14010696434,REC-F,10.5,0,0,10.5,2010
14010696437,crypt,0,0,0,0.0,2010
14010696437,DIG,10,0,0,10.0,2010
14010696437,I G C,0,0,0,0.0,2010
14010696437,P_Log,10.75,16,0,12.54,2010
14010696437,RES,3,6,0,4.02,2010
14010696437,SYS E,3,8,12,6.5,2010
14010696437,Th_Gr,14.5,14,0,14.33,2010
14010696437,BDD-A,0,0,0,0.0,2010
14010696437,PFE,15,0,0,15.0,2010
14010696437,PROGP,10,0,0,10.0,2010
14010696437,REC-F,5,0,0,5.0,2010
14010696437,SYS-D,0,0,0,0.0,2010
14010696447,Comp,10,8,14,10.5,2010
14010696447,crypt,0,0,0,0.0,2010
14010696447,DIG,14,0,0,14.0,2010
14010696447,I G C,0,0,0,0.0,2010
14010696447,P_Log,6.75,18,0,10.58,2010
14010696447,RES,5,5,0,5.0,2010
14010696447,SYS E,8.5,9.25,12,9.57,2010
14010696447,Th_Gr,9.5,10,0,9.67,2010
14010696447,BDD-A,0,0,0,0.0,2010
14010696447,PFE,13.5,0,0,13.5,2010
14010696447,PROGP,11,0,0,11.0,2010
14010696447,REC-F,4,0,0,4.0,2010
14010696447,SYS-D,0,0,0,0.0,2010
14010696498,Comp,9.5,9,0,7.0,2010
14010696498,crypt,0,0,0,0.0,2010
14010696498,DIG,0,0,0,0.0,2010
14010696498,I G C,12.5,0,0,12.5,2010
14010696434,BDD-A,10.00,0,0,10.0,2010
14010696449,STRM,9,0,0,7.26,2010
14010696449,Info2,5,0,0,2.5,2010
