temps_id,student_id,birthday,gender,nationnality
1,14011499274,1982-04-25 00:00:00,M,Algérienne
5,14011097290,1991-05-04 00:00:00,M,Algérienne
9,14011298615,1994-02-25 00:00:00,F,Algérienne
13,14011399247,1982-01-26 00:00:00,F,Algérienne
17,14011298617,1993-09-09 00:00:00,F,Algérienne
21,14011399251,1982-02-09 00:00:00,F,Algérienne
25,14011097102,1992-04-20 00:00:00,F,Algérienne
29,14011298622,1992-11-08 00:00:00,F,Algérienne
33,14011499272,1981-10-20 00:00:00,M,Algérienne
37,14011298627,1993-07-13 00:00:00,M,Algérienne
41,14011097300,1991-06-25 00:00:00,M,Algérienne
45,14010796647,1987-05-25 00:00:00,M,Algérienne
49,14011499270,1981-03-28 00:00:00,M,Algérienne
53,14011097496,1991-02-16 00:00:00,M,Algérienne
57,14011097152,1990-06-15 00:00:00,M,Algérienne
61,14011298636,1993-01-15 00:00:00,F,Algérienne
65,14011298637,1994-01-20 00:00:00,F,Algérienne
69,14011499276,1985-06-08 00:00:00,M,Algérienne
73,14011299188,1993-08-12 00:00:00,M,Algérienne
77,14011298645,1994-06-23 00:00:00,M,Algérienne
81,14011097177,1992-03-29 00:00:00,M,Algérienne
85,14011499286,1984-12-25 00:00:00,M,Algérienne
89,14011298662,1993-05-18 00:00:00,F,Algérienne
93,14011298667,1994-01-08 00:00:00,M,Algérienne
97,14011298668,1992-11-26 00:00:00,F,Algérienne
101,14011298670,1992-07-25 00:00:00,M,Algérienne
105,14011298672,1993-12-06 00:00:00,M,Algérienne
109,14011298682,1993-09-27 00:00:00,M,Algérienne
113,14011298686,1994-09-13 00:00:00,M,Algérienne
117,14011298687,1993-01-19 00:00:00,M,Algérienne
121,14011298688,1992-10-27 00:00:00,M,Algérienne
125,14011298696,1994-03-09 00:00:00,F,Algérienne
129,14011298705,1992-12-16 00:00:00,F,Algérienne
133,14011298706,1992-09-13 00:00:00,M,Algérienne
137,14011298710,1993-10-30 00:00:00,M,Algérienne
141,14011298711,1994-01-01 00:00:00,F,Algérienne
145,14011298736,1994-04-12 00:00:00,F,Algérienne
149,14011097478,1992-05-29 00:00:00,F,Algérienne
153,14011097544,1990-10-29 00:00:00,M,Algérienne
157,14011298895,1993-06-15 00:00:00,F,Algérienne
161,14011298919,1993-06-13 00:00:00,F,Algérienne
165,14011298925,1994-04-25 00:00:00,M,Algérienne
169,14011298927,1994-02-25 00:00:00,F,Algérienne
173,14011298935,1994-05-15 00:00:00,F,Algérienne
177,14011298818,1991-08-10 00:00:00,M,Algérienne
181,14011298823,1993-01-08 00:00:00,M,Algérienne
185,14011298838,1993-10-28 00:00:00,F,Algérienne
189,14011298846,1992-04-28 00:00:00,F,BURUNDI
193,14011298763,1994-12-05 00:00:00,F,Algérienne
197,14011298764,1993-12-16 00:00:00,M,Algérienne
201,14011298765,1993-06-16 00:00:00,M,Algérienne
205,14011298787,1993-09-06 00:00:00,M,Algérienne
209,14011197808,1992-09-22 00:00:00,F,Algérienne
213,14011298955,1993-01-29 00:00:00,M,Algérienne
217,14011298962,1990-10-20 00:00:00,M,GUINEENNE
221,14011298964,1990-05-19 00:00:00,F,GUINEENNE
225,14011298977,1993-11-25 00:00:00,F,Algérienne
229,14011298979,1993-10-03 00:00:00,F,Algérienne
233,14011299010,1993-09-04 00:00:00,F,Algérienne
237,14011299024,1993-12-10 00:00:00,F,Algérienne
241,14011299032,1994-03-01 00:00:00,F,Algérienne
245,14011299038,1993-12-19 00:00:00,F,Algérienne
249,14011299110,1991-08-11 00:00:00,M,Algérienne
253,14011299116,1994-03-14 00:00:00,M,Algérienne
257,14011299118,1993-10-16 00:00:00,F,Algérienne
261,14011299122,1993-09-22 00:00:00,F,Algérienne
265,14011299136,1994-04-16 00:00:00,M,Algérienne
269,14011299174,1993-06-04 00:00:00,M,Algérienne
273,14011299180,1990-10-07 00:00:00,M,Malienne
277,14011198397,1992-07-03 00:00:00,F,Algérienne
281,14011198521,1993-03-19 00:00:00,F,Algérienne
285,14011197960,1992-03-20 00:00:00,F,Algérienne
289,14011197993,1993-08-06 00:00:00,F,Algérienne
293,14011198113,1993-02-01 00:00:00,F,Algérienne
297,14011599307,1993-08-21 00:00:00,F,Algérienne
301,14011198180,1992-03-17 00:00:00,M,Algérienne
305,14011198183,1989-07-12 00:00:00,M,Algérienne
309,14011198194,1991-08-18 00:00:00,M,Algérienne
313,14011198198,1992-10-11 00:00:00,M,Algérienne
317,14011198259,1993-07-13 00:00:00,M,Algérienne
321,14011198436,1993-03-04 00:00:00,M,Algérienne
325,14011198512,1991-09-30 00:00:00,M,Algérienne
329,14011198524,1991-08-31 00:00:00,M,Algérienne
333,14011198566,1991-02-26 00:00:00,M,Algérienne
337,14011198588,1993-05-12 00:00:00,F,Algérienne
341,14011298851,1992-04-03 00:00:00,M,Burundi
345,14011298861,1993-09-13 00:00:00,F,Algérienne
349,14011298862,1991-11-14 00:00:00,M,BURUNDAISE
353,14011298871,1992-05-18 00:00:00,M,BURUNDAISE
357,14011298877,1988-09-09 00:00:00,M,Algérienne
