tempd_id,bac_id,student_id,bac_year,highshcool_path,bac_avg,bac_feedback
4,00/805838,14011499274,2000,G08,10.09,Passable
8,10/8008081,14011097290,2010,5,11.38,Passable
12,12/8009832,14011298615,2012,5,12.13,A.Bien
16,01/802313,14011399247,2001,G07,10.06,Passable
20,12/8009767,14011298617,2012,G13,13.12,A.Bien
24,02/801899,14011399251,2002,G05,10.22,Passable
28,10/8019853,14011097102,2010,5,10.62,Passable
32,12/8009432,14011298622,2012,G18,11.07,Passable
36,01/802588,14011499272,2001,G07,12.36,A.Bien
40,12/8009115,14011298627,2012,5,10.85,Passable
44,10/8008442,14011097300,2010,5,13.3,A.Bien
48,07/8028687,14010796647,2007,G05,10.31,Passable
52,02/803555,14011499270,2002,G08,10.85,Passable
56,10/8051778,14011097496,2010,5,12.55,A.Bien
60,10/8019940,14011097152,2010,5,12.21,A.Bien
64,12/8009446,14011298636,2012,5,11.43,Passable
68,12/8008721,14011298637,2012,5,13.54,A.Bien
72,04/8003785,14011499276,2004,G05,10.07,Passable
76,12/8017037,14011299188,2012,G13,11.67,Passable
80,12/8009474,14011298645,2012,G18,10.36,Passable
84,10/8008589,14011097177,2010,5,11.37,Passable
88,02/803459,14011499286,2002,5,10.3,Passable
92,12/8009479,14011298662,2012,5,10.69,Passable
96,12/8008502,14011298667,2012,5,12.45,A.Bien
100,12/8009489,14011298668,2012,5,10.6,Passable
104,12/8009490,14011298670,2012,5,11.26,Passable
108,12/8008939,14011298672,2012,5,12.94,A.Bien
112,12/8057209,14011298682,2012,5,13.64,A.Bien
116,12/8008427,14011298686,2012,5,13.95,A.Bien
120,12/8009423,14011298687,2012,5,10.55,Passable
124,12/8009589,14011298688,2012,5,12.82,A.Bien
128,12/8054131,14011298696,2012,5,13.42,A.Bien
132,12/8009444,14011298705,2012,5,13.02,A.Bien
136,12/8009458,14011298706,2012,5,10.19,Passable
140,12/8009448,14011298710,2012,5,10.18,Passable
144,12/8009644,14011298711,2012,5,13.04,A.Bien
148,12/8053705,14011298736,2012,5,14.06,Bien
152,10/8008689,14011097478,2010,5,12.42,A.Bien
156,10/8008651,14011097544,2010,5,13.71,A.Bien
160,12/8008943,14011298895,2012,5,13.09,A.Bien
164,12/8016856,14011298919,2012,5,14.05,Bien
168,12/8057126,14011298925,2012,5,12.57,A.Bien
172,12/8016867,14011298927,2012,5,12.7,A.Bien
176,12/8011188,14011298935,2012,G18,12.82,A.Bien
180,12/8009752,14011298818,2012,5,12.48,A.Bien
184,12/8053908,14011298823,2012,5,14.46,Bien
188,12/8016866,14011298838,2012,5,13.4,A.Bien
192,12/11906,14011298846,2012,5,15.06,Bien
196,12/8008597,14011298763,2012,5,12.79,A.Bien
200,12/8009434,14011298764,2012,5,10.38,Passable
204,12/8008917,14011298765,2012,5,11.99,Passable
208,12/8008485,14011298787,2012,5,12.34,A.Bien
212,11/8008434,14011197808,2011,5,12.69,A.Bien
216,12/8009334,14011298955,2012,5,15.05,Bien
220,11/2776,14011298962,2011,G18,14.06,Bien
224,11/1389,14011298964,2011,G18,14.59,Bien
228,12/8010558,14011298977,2012,G18,11.27,Passable
232,12/7035781,14011298979,2012,5,13.75,A.Bien
236,12/8015713,14011299010,2012,5,14.75,Bien
240,12/8011194,14011299024,2012,5,12.68,A.Bien
244,12/8014982,14011299032,2012,5,11.72,Passable
248,12/8009011,14011299038,2012,5,13.87,A.Bien
252,11/8013539,14011299110,2011,T19,14.39,Bien
256,12/8008391,14011299116,2012,5,13.49,A.Bien
260,11/8007827,14011299118,2011,5,14.71,Bien
264,11/8013312,14011299122,2011,5,14.77,Bien
268,12/8008841,14011299136,2012,5,13.57,A.Bien
272,11/8011125,14011299174,2011,5,13.15,A.Bien
276,11/26810,14011299180,2011,5,10.0,Passable
280,11/8009695,14011198397,2011,T24,10.99,Passable
284,11/8051463,14011198521,2011,M 1,11.55,Passable
288,11/8013322,14011197960,2011,5,12.98,A.Bien
292,11/8007791,14011197993,2011,5,12.38,A.Bien
296,11/8008198,14011198113,2011,5,12.05,A.Bien
300,11/8008484,14011599307,2011,5,11.58,Passable
304,11/8008126,14011198180,2011,5,11.85,Passable
308,11/8011730,14011198183,2011,5,11.79,Passable
312,11/8013216,14011198194,2011,5,13.08,A.Bien
316,11/8013353,14011198198,2011,5,12.95,A.Bien
320,11/8008379,14011198259,2011,5,13.64,A.Bien
324,11/8007938,14011198436,2011,5,13.57,A.Bien
328,11/8007616,14011198512,2011,5,11.89,Passable
