student_id,cours_id,exam,TD,TP,course_avg,scholar_year
14011499274,P.FE,17.5,,,17.5,2016
14011097290,P.FE,16.5,,,16.5,2016
14011298615,PFER,16,,,16.0,2016
14011399247,P.FE,,,,16.0,2016
14011298617,PFEM1,,,,0.0,2016
14011399251,P.FE,,,,16.0,2016
14011097102,RLE,6,,11.5,8.2,2016
14011298622,PFER,16.5,,,16.5,2016
14011499272,PFEM1,14,,,14.0,2016
14011298627,P.FE,17,,,17.0,2016
14011097300,PFEM1,14,,,14.0,2016
14010796647,PFER,15,,,15.0,2016
14011499270,BDA,10.2,,13.5,11.52,2016
14011097496,PFER,,,,0.0,2016
14011097152,P.FE,16.5,,,16.5,2016
14011298636,PFER,16.5,,,16.5,2016
14011298637,P.FE,16.66,,,16.66,2016
14011499276,PFEM1,,,,0.0,2016
14011299188,PFEM1,17,,,17.0,2016
14011298645,P.FE,17,,,17.0,2016
14011097177,PFEM1,16,,,16.0,2016
14011499286,P.FE,17.5,,,17.5,2016
14011298662,PFEM1,17,,,17.0,2016
14011298667,P.FE,18,,,18.0,2016
14011298668,RLE,7,,13.5,9.6,2016
14011298670,PFEM1,17,,,17.0,2016
14011298672,PFEM1,15.5,,,15.5,2016
14011298682,PFEM1,17,,,17.0,2016
14011298686,P.FE,17.5,,,17.5,2016
14011298687,PFER,17,,,17.0,2016
14011298688,PFEM1,16,,,16.0,2016
14011298696,PFER,16,,,16.0,2016
14011298705,PFER,,,,0.0,2016
14011298706,PFEM1,16,,,16.0,2016
14011298710,PFEM1,17,,,17.0,2016
14011298711,PFEM1,17,,,17.0,2016
14011298736,TFM,5,10,13.5,7.7,2016
14011097478,PFER,16,,,16.0,2016
14011097544,PFER,,,,0.0,2016
14011298895,PFER,17.75,,,17.75,2016
14011298919,PFER,16.5,,,16.5,2016
14011298925,PFER,17,,,17.0,2016
14011298927,PFER,,,,0.0,2016
14011298935,PFER,16,,,16.0,2016
14011298818,P.FE,17,,,17.0,2016
14011298823,P.FE,16,,,16.0,2016
14011298838,PFER,16,,,16.0,2016
14011298846,PFER,17.5,,,17.5,2016
14011298763,P.FE,17,,,17.0,2016
14011298764,P.FE,18,,,18.0,2016
14011298765,P.FE,16,,,16.0,2016
14011298787,PFEM1,,,,0.0,2016
14011197808,PFER,16.5,,,16.5,2016
14011298955,P.FE,17,,,17.0,2016
14011298962,PFER,17,,,17.0,2016
14011298964,PFER,17.5,,,17.5,2016
14011298977,PFER,16,,,16.0,2016
14011298979,PFEM1,18,,,18.0,2016
14011299010,P.FE,16.66,,,16.66,2016
14011299024,PFER,15,,,15.0,2016
14011299032,P.FE,17.75,,,17.75,2016
14011299038,PFER,16.5,,,16.5,2016
14011299110,PFER,16,,,16.0,2016
14011299116,PFEM1,16.5,,,16.5,2016
14011299118,P.FE,17.75,,,17.75,2016
14011299122,PFER,16.5,,,16.5,2016
14011299136,P.FE,17.5,,,17.5,2016
14011299174,P.FE,17.5,,,17.5,2016
14011299180,PFEM1,15.5,,,15.5,2016
14011198397,P.FE,16,,,16.0,2016
14011198521,PFEM1,,,,0.0,2016
14011197960,ASLO,,,,0.0,2016
14011197993,PFER,17.75,,,17.75,2016
14011198113,PFER,,,,0.0,2016
14011599307,PFEM1,17,,,17.0,2016
14011198180,PFER,17,,,17.0,2016
14011198183,PFER,15,,,15.0,2016
14011198194,RLE,11,,10,10.6,2016
14011198198,PFEM1,,,,0.0,2016
14011198259,PFER,16.5,,,16.5,2016
14011198436,PFEM1,16,,,16.0,2016
14011198512,PFEM1,16.5,,,16.5,2016
14011198524,P.FE,17.5,,,17.5,2016
14011198566,SEW,6,10,,8.2,2016
14011198588,PFEM1,17,,,17.0,2016
14011298851,P.FE,17,,,17.0,2016
14011298861,RLE,13,,11.25,12.3,2016
14011298862,PFER,17.5,,,17.5,2016
14011298871,PFER,17.5,,,17.5,2016
14011298877,PFER,17,,,17.0,2016
14011097068,PROB,,,,0.0,2015
14011097517,PROB,,,,0.0,2015
14011399236,P.FE,17.5,,,17.5,2015
14011399238,PFEM,16,,,16.0,2015
14011399240,VA,,,,0.0,2015
14011499274,P.FE,17.5,,,17.5,2016
14011097074,PROB,,,,0.0,2015
14011198520,PFEM1,16,,,16.0,2015
14011298612,Tecw,,,,0.0,2015
14011299184,Tecw,,,,0.0,2015
14011599290,RLE,,,,0.0,2015
14011097290,P.FE,16.5,,,16.5,2016
14011298614,PROB,,,,0.0,2015
14011399245,P.FE,16,,,16.0,2015
14011097731,PFER,15.5,,,15.5,2015
14010796588,APMD,,,,0.0,2015
14011097084,info,,9.5,10,0.0,2015
14011097086,Tecw,,,,0.0,2015
14011298615,PFER,16,,,16.0,2016
14011399247,P.FE,,,,16.0,2016
14011097514,STRM,,2,,0.0,2015
14011298617,PFEM1,,,,0.0,2016
14011298618,Tecw,,,,0.0,2015
14011399249,ANG2.,,,,0.0,2015
14011399251,P.FE,,,,16.0,2016
14011599305,ANG2.,,,,0.0,2015
14011097092,PROB,,,,0.0,2015
14011097098,PROB,,,,0.0,2015
14011298620,RLE,4.75,,13,8.05,2015
14011399255,ANG2.,,,,0.0,2015
14011599304,ANG2.,,,,0.0,2015
14011399259,PFEM,16,,,16.0,2015
14010796607,APMD,,,,0.0,2015
14011097509,PROB,,,,0.0,2015
14011097102,RLE,6,,11.5,8.2,2016
14011298622,PFER,16.5,,,16.5,2016
14011298623,Tecw,,,,0.0,2015
14011097507,PROB,,,,0.0,2015
14011298624,Tecw,,,,0.0,2015
14011499272,PFEM1,14,,,14.0,2016
14010796618,ANLC,,,,0.0,2015
14011097112,T-L,,0,,0.0,2015
14011298626,Tecw,,,,0.0,2015
14011298627,P.FE,17,,,17.0,2016
14011097300,PFEM1,14,,,14.0,2016
14011097489,PROB,,,,0.0,2015
14011298629,Tecw,,,,0.0,2015
14011399261,P.FE,16,,,16.0,2015
14011399266,P.FE,17.5,,,17.5,2015
14011097114,PROB,,,,0.0,2015
14011198541,PROB,,,,0.0,2015
14011097118,PROB,,,,0.0,2015
14011097480,TEM,,,,0.0,2015
14011298630,Tecw,,,,0.0,2015
,,,,,,
14011097124,PROB,,,,0.0,2015
14011097126,StatD,,10,,0.0,2015
14011298631,RLE,1,,12,8.4,2015
14010796647,PFER,15,,,15.0,2016
14011298633,Tecw,,,,0.0,2015
14011399264,Tecw,,,,0.0,2015
14011399268,VA,,,,0.0,2015
14011097134,STRM,,6,,0.0,2015
14011097136,PROB,,,,0.0,2015
14011097138,PROB,,,,0.0,2015
14011298634,STRM,,13,,0.0,2015
14011097140,PROB,,,,0.0,2015
14011097142,PROB,,,,0.0,2015
14011097144,PROB,,,,0.0,2015
14011298635,PROB,,,,0.0,2015
14011499288,RLE,3,,,1.8,2015
14011097496,PFER,,,,0.0,2016
14011097150,STRM,,10,,0.0,2015
14011097152,P.FE,16.5,,,16.5,2016
14011097154,PROB,,,,0.0,2015
14011298636,PFER,16.5,,,16.5,2016
14010796669,APMD,,,,0.0,2015
14011599306,ANG2.,,,,0.0,2015
14011097156,Info2,,6.5,13,0.0,2015
14011298637,P.FE,16.66,,,16.66,2016
14011499276,PFEM1,,,,0.0,2016
14010796674,AGL2,,,,0.0,2015
,,,,,,
14011097163,Algé2,,13,,0.0,2015
14011097313,PROB,,,,0.0,2015
14011097308,info,,8,10,0.0,2015
14011097310,PROB,,,,0.0,2015
14011097312,PROB,,,,0.0,2015
14011097317,PROB,,,,0.0,2015
14010896693,APMD,,,,0.0,2015
14010896694,Agl,,,,0.0,2015
14011298638,Tecw,,,,0.0,2015
,,,,,,
14010896698,PROB,,13,,0.0,2015
14011097169,PROB,,,,0.0,2015
14011298639,PROB,,,,0.0,2015
14011499283,VA,,,,0.0,2015
14010896704,APMD,,,,0.0,2015
14011298640,PROB,,,,0.0,2015
14011599295,RLE,,,,0.0,2015
14011499280,RLE,,,,0.0,2015
14011499285,RLE,3.5,,13.5,7.5,2015
14011097173,STRM,,5,,0.0,2015
14011097490,PROB,,,,0.0,2015
14011298641,CF,,9,,0.0,2015
14011298644,Info2,,5.5,10,0.0,2015
14011299188,PFEM1,17,,,17.0,2016
,,,,,,
,,,,,,
14010896714,APMD,,,,0.0,2015
14011298645,P.FE,17,,,17.0,2016
14010896715,PROB,,,,0.0,2015
14010896716,APMD,,9,,0.0,2015
14011097177,PFEM1,16,,,16.0,2016
14011197861,Tecw,,,,0.0,2015
14011298647,Tecw,,,,0.0,2015
,,,,,,
14011097179,PROB,,,,0.0,2015
14011298649,info,,11,10.5,0.0,2015
14011499286,P.FE,17.5,,,17.5,2016
14011599300,RLE,,,,0.0,2015
,,,,,,
14011097181,Tecw,,,,0.0,2015
14011097609,RLE,,,,0.0,2015
14011298650,STRM,,10,,0.0,2015
14011298651,STRM,,8,,0.0,2015
14011298652,Tecw,,,,0.0,2015
14011298653,Info2,,11,8,0.0,2015
14011298654,PROB,,,,0.0,2015
14011298655,PROB,,,,0.0,2015
14011298656,PROB,,,,0.0,2015
14011298657,PROB,,,,0.0,2015
14011298659,PROB,,,,0.0,2015
,,,,,,
,,,,,,
14010896755,APMD,,9,,0.0,2015
,,,,,,
14010896757,PFER,13,,,13.0,2015
14011298660,STRM,,,,0.0,2015
14011298661,PROB,,,,0.0,2015
,,,,,,
14010896770,APMD,,10,,0.0,2015
,,,,,,
,,,,,,
14011298662,PFEM1,17,,,17.0,2016
14011298663,Tecw,,,,0.0,2015
14010896777,Agl,,,,0.0,2015
14011599303,RLE,,,,0.0,2015
14011599299,RLE,,,,0.0,2015
14010896785,APMD,,9,,0.0,2015
14010896786,APMD,,,,0.0,2015
14011097191,Info2,,3,13,0.0,2015
14011198465,PFER,15.5,,,15.5,2015
14010896788,APMD,,,,0.0,2015
14011298664,PROB,,,,0.0,2015
,,,,,,
,,,,,,
14010896796,APMD,,,,0.0,2015
,,,,,,
,,,,,,
14011298665,Info2,,10.5,8.5,0.0,2015
,,,,,,
14011097197,STRM,,11.5,,0.0,2015
14010896807,Agl,,,,0.0,2015
,,,,,,
,,,,,,
,,,,,,
14011298667,P.FE,18,,,18.0,2016
,,,,,,
,,,,,,
14010896817,APMD,,,,0.0,2015
14011298668,RLE,7,,13.5,9.6,2016
14010896819,APMD,,,,0.0,2015
14010896820,APMD,,,,0.0,2015
,,,,,,
14011298669,T-L,,,,0.0,2015
14010896826,Info2,,10,5,0.0,2015
,,,,,,
14011097201,PROB,,,,0.0,2015
,,,,,,
14010896833,APMD,,,,0.0,2015
14011298670,PFEM1,17,,,17.0,2016
14011298671,PROB,,,,0.0,2015
14010896840,LANE,,13,,0.0,2015
,,,,,,
,,,,,,
,,,,,,
14010896850,Agl,,,,0.0,2015
14010896851,APMD,,,,0.0,2015
,,,,,,
,,,,,,
14011097203,P.FE,17.5,,,17.5,2015
14011097205,PROB,,,,0.0,2015
14011298672,PFEM1,15.5,,,15.5,2016
14011298673,info,,10,12.5,0.0,2015
14010996865,T-L,,0,,0.0,2015
14010996868,PROB,,,,0.0,2015
14011298675,PROB,,,,0.0,2015
14011298677,Tecw,,,,0.0,2015
14010996870,PROB,,,,0.0,2015
14010996871,PROB,,,,0.0,2015
14011097488,PROB,,,,0.0,2015
14010996873,PROB,,,,0.0,2015
14010996876,PROB,,,,0.0,2015
14010996879,PROB,,,,0.0,2015
14010996881,Info2,,11.25,8,4.82,2015
14010996883,PROB,,,,0.0,2015
14010996884,PROB,,,,0.0,2015
14010996885,Info2,,7.5,13.5,0.0,2015
14010996887,StatD,,,,0.0,2015
14010996890,PROB,,,,0.0,2015
14010996891,PROB,,,,0.0,2015
14011298678,Tecw,,,,0.0,2015
14010996893,Agl,,,,0.0,2015
14011298679,Info2,,6,16,0.0,2015
14011298680,Tecw,,,,0.0,2015
14010996907,Info2,,7,11,0.0,2015
14011298682,PFEM1,17,,,17.0,2016
14011298683,Aly2,,9.5,,0.0,2015
14010996909,PROB,,,,0.0,2015
14010996910,PROB,,,,0.0,2015
14010996911,Agl,,,,0.0,2015
14010996912,His-s,,,,0.0,2015
14010996913,PROB,,,,0.0,2015
14010996918,PROB,,,,0.0,2015
14011197863,PROB,,,,0.0,2015
14011298684,StatD,,13,,0.0,2015
14010996919,PROB,,,,0.0,2015
14010996920,STRM,,4,,0.0,2015
14010996922,PFER,16,,,16.0,2015
14010996926,PROB,,,,0.0,2015
14010996927,Info2,,10.5,8.5,0.0,2015
14010996928,Agl,,,,0.0,2015
14011298685,PROB,,,,0.0,2015
14011298686,P.FE,17.5,,,17.5,2016
14010996932,T-L,,,,0.0,2015
14011298687,PFER,17,,,17.0,2016
14011298688,PFEM1,16,,,16.0,2016
14011298689,PROB,,,,0.0,2015
14010996935,PROB,,,,0.0,2015
14010996936,PROB,,,,0.0,2015
14011298690,Tecw,,,,0.0,2015
14011097506,RLE,,,,0.0,2015
14010996942,PROB,,,,0.0,2015
14010996944,PROB,,,,0.0,2015
14010996945,PROB,,,,0.0,2015
14011599296,RLE,,,,0.0,2015
14010996949,PROB,,,,0.0,2015
14011298691,Tecw,,,,0.0,2015
14010996951,PROB,,,,0.0,2015
14010996956,PROB,,,,0.0,2015
14011198519,His-s,,,,0.0,2015
14010996958,Agl,,,,0.0,2015
14010996959,PROB,,,,0.0,2015
14011298692,Tecw,,,,0.0,2015
14010996960,PROB,,,,0.0,2015
14010996961,PROB,,,,0.0,2015
14011298693,Tecw,,,,0.0,2015
14010996965,His-s,,,,0.0,2015
14010996969,PROB,,,,0.0,2015
14011298694,Tecw,,,,0.0,2015
14011298695,StatD,,14,,0.0,2015
14010996974,PROB,,,,0.0,2015
14011298696,PFER,16,,,16.0,2016
14010996976,PROB,,,,0.0,2015
14010996978,T-L,,0,,0.0,2015
14010996979,PROB,,,,0.0,2015
14011298697,STRM,,12,,0.0,2015
14010996985,RECB,16.5,,,16.5,2010
14010996986,RECB,15,,,15.0,2010
14010996987,RECB,16,,,16.0,2010
14010996988,RECB,16,,,16.0,2010
14010996989,RECB,15,,,15.0,2010
14010996990,RECB,14,,,14.0,2010
14010996991,RECB,15.87,,,15.87,2010
14010996992,RECB,16.75,,,16.75,2010
14010996993,RECB,15.75,,,15.75,2010
14010996994,RECB,15.75,,,15.75,2010
14010996996,RECB,14.75,,,14.75,2010
14011298698,PROB,,,,0.0,2015
14010996997,RECB,13.87,,,13.87,2010
14010996999,RECB,4,,,4.0,2010
14010997000,RECB,16.25,,,16.25,2010
14010997001,RECB,14.25,,,14.25,2010
14010997002,RECB,10.75,,,10.75,2010
14010997003,RECB,16,,,16.0,2010
14010997004,RECB,14,,,14.0,2010
14010997006,RECB,3,,,3.0,2010
14010997007,RECB,3.75,,,3.75,2010
14010997009,RECB,15.5,,,15.5,2010
14010997010,RECB,15,,,15.0,2010
14010997011,RECB,16,,,16.0,2010
14011298699,PROB,,,,0.0,2015
14011298700,RLE,2.25,,10,6.4,2015
14010997013,RECB,16,,,16.0,2010
14010997014,RECB,15.75,,,15.75,2010
14010997015,RECB,3.25,,,3.25,2010
14010997016,RECB,15.75,,,15.75,2010
14010997018,RECB,15.25,,,15.25,2010
14010997020,RECB,,,,0.0,2010
14010997022,RECB,,,,0.0,2010
14010997023,RECB,15.75,,,15.75,2010
14010997024,RECB,16.75,,,16.75,2010
14011298701,PROB,,,,0.0,2015
14010997025,RECB,14,,,14.0,2010
