"N_Série","Série","Série_Ar"
"5","S","علوم تجريبية"
"111","S","علوم تجريبية"
"12","other","تسيير و إقتصاد"
"B01","other","Bac étranger"
"B20","other","B20"
"ca","TM","tech-mathe opt genie electrique"
"G01","other","اداب وعلوم إنسانية"
"G02","other","اداب و علوم إسلامية"
"G03","other","اداب و لغات أجنبية"
"G04","S","علوم دقيقة"
"G05","S","علوم الطبيعة و الحياة"
"G06","TM","هندسة مدنية"
"G07","TM","هندسة كهربائية"
"G08","TM","هندسة ميكانيكية"
"G09","other","تسيير و إقتصاد"
"G10","other","اداب و فلسفة"
"G11","S","علوم تجريبية"
"G12","other","A4"
"G13","TM","Maths Technique - Genie Civil "
"G15","S","علوم تجريبية"
"G16","S","علوم الطبيعة و الحياة"
"G17","S","علوم تجريبية"
"G18","M","رياضيات"
"G33","other","لغات أجنبية"
"L01","other","اداب و فلسفة"
"M 1","TM","T Mathématiques:Génie des procédés"
"M01","M","رياضيات"
"N 1","M","رياضيات"
"N01","other","اداب و فلسفة"
"N02","other","لغات أجنبية"
"N03","S","علوم تجريبية"
"N04","M","رياضيات"
"N05","TM","تقنيات رياضيات"
"N06","other","تسيير و إقتصاد"
"S 1","S","علوم"
"S08","S","علوم تجريبية"
"s1","S","علوم تجريبية"
"Sc1","S","علوم تجريبية"
"T01","S","علوم"
"T02","M","رياضيات"
"T10","other","تقنيات المحاسبة"
"T11","TM","الكترونيك"
"T12","TM","الكتروتقني"
"T13","TM","صناعة ميكانيكية"
"T14","TM","كيمياء"
"T15","TM","بناء و أشغال عمومية"
"T16","S","علوم تجريبية"
"T17","M","رياضيات"
"T18","TM","تقنيات رياضيات"
"T19","TM","Maths Technique Opt. Génie électrique"
"T20","TM","Maths Technique Opt. Génie Routiére"
"T22","other","تجارة"
"T25","other","اداب وعلوم إنسانية"
"X11","other","اداب و فلسفة"
"ع ت","S","علوم تجريبية"
"T24","TM","Maths Technique Opt. Génie Routiére"
