town,dayra,wilaya,lat,long,distance
naima,ain deheb,tiaret,34.8047889,1.1666531999999998,60.77506714762353
chehaima,ain deheb,tiaret,34.8392135,1.2639635,56.256553545383056
madna,ain kermes,tiaret,34.7364442,0.7451380999999999,82.6989094838196
Djebilet Rosfa,ain kermes,tiaret,34.8451766,0.6784515,77.19250024702983
Sidi Abderrahmane,ain kermes,tiaret,34.5291372,0.46290870000000006,116.64670182303327
Medrissa,ain kermes,tiaret,34.831179799999994,0.9469690999999999,64.14409298280462
Ain Bouchekif,dahmouni,tiaret,35.3291971,1.3413621999999998,6.9650582736959885
Frenda,Frend,tiaret,35.078519,0.9261140999999999,42.87858570131644
Ain El Hadid,Frend,tiaret,35.134534499999994,0.6073608,64.32999268847699
Takhemaret,Frend,tiaret,35.117990500000005,0.4184103,81.11648517287686
Bougara,Hamadia,tiaret,35.5460986,1.9175243999999998,63.0146832069768
Rechaiga,Hamadia,tiaret,35.474707099999996,1.7156361,43.12697452290221
Serghine,Ksar Chellala,tiaret,35.2090198,2.3742575,101.63583679647398
Zmalet El Emir Abdelkader,Ksar Chellala,tiaret,35.001534,2.0718931,82.52557377866934
Ain Zarit,Mahdia,tiaret,35.3543681,1.6079436000000003,30.92935688091476
Nadorah,Mahdia,tiaret,35.261507200000004,1.8116561999999998,50.28355619245873
Sebaine,Mahdia,tiaret,35.457658,1.4749076,22.61186104731069
Djillali Ben Amar,Mechraa Safa,tiaret,35.35267460000001,0.7521051999999999,46.71561312122221
Tagdemt,Mechraa Safa,tiaret,35.3337627,1.2157197,4.829340128384681
Sidi Bakhti,Medroussa,tiaret,35.235704299999995,0.8439370999999999,40.288542369493584
Mellakou,Medroussa,tiaret,35.2369062,1.1501761000000001,16.045239271681695
Sebt,Meghila,tiaret,35.645334600000005,1.3098895000000002,33.60485116924684
Sidi Hosni,Meghila,tiaret,35.529026,1.3642846000000002,22.2627911042465
Sidi Ali Mellal,Oued Lilli,tiaret,35.599417700000004,1.0318071,35.40483374135897
Tidda,Oued Lilli,tiaret,35.6034724,1.1364991000000002,31.06538060262331
Guertoufa,Rahouia,tiaret,35.448338899999996,1.0569826999999998,22.23597965780733
Faidja,Sougueur,tiaret,34.8875736,1.7219546000000001,65.57574672318762
Si Abdelghani,Sougueur,tiaret,35.2066223,1.5306184999999999,28.450603401796993
Tousnina,Sougueur,tiaret,35.091836900000004,1.1728096000000001,29.439104361329548
tissemsilt,tissemsilt,tissemsilt,35.612289200000006,1.7574651000000001,53.42279178497141
ain deheb,ain deheb,tiaret,34.847125,1.5320777,60.395754440039724
Sougueur,Sougueur,tiaret,35.22402879999999,1.2850916000000001,13.564872784476753
Rahouia,Rahouia,tiaret,35.527356899999994,0.8660462,41.60260344016837
Oued Lilli,Oued Lilli,tiaret,35.5124643,1.2623898,18.61125346790193
Meghila,Meghila,tiaret,35.6050307,1.3647095,30.22064975203164
Medroussa,Medroussa,tiaret,35.184764799999996,1.0035006,29.84546189830905
Mechraa Safa,Mechraa Safa,tiaret,35.3734741,0.9213396999999999,31.513220878088074
Mahdia,Mahdia,tiaret,35.4555441,1.599826,32.560432377294816
Ksar Chellala,Ksar Chellala,tiaret,35.2486403,2.247893,89.65446349441984
Hamadia,Hamadia,tiaret,35.474707099999996,1.7156361,43.12697452290221
dahmouni,dahmouni,tiaret,35.44866210000001,1.2879306000000001,11.665612729018875
ain kermes,ain kermes,tiaret,34.9297518,0.9986591,52.24201515093059
